._|_SF 21041
어둠_|_NNG 162
...._|_SW 161
주위_|_NNG 161
어_|_NNG 161
그리고_|_MAC 160
지금_|_MAG 160
걸_|_VV 160
코_|_NNG 160
보내_|_VV 159
단다_|_EFN 159
나가_|_VV 158
귀_|_NNG 158
걷_|_VV 156
걱정_|_NNG 156
아요_|_EFN 155
미소_|_NNG 155
이_|_NNG 155
단_|_ETD 154
날_|_NNG 153
믿_|_VV 153
걸어가_|_VV 153
편지_|_NNG 153
아무_|_NP 152
중얼거리_|_VV 152
듯하_|_VXA 152
모두_|_NNG 151
따르_|_VV 151
있었_|_VV 150
거의_|_MAG 149
밑_|_NNG 149
기다리_|_VV 149
푸_|_VV 149
재빨리_|_MAG 148
이름_|_NNG 148
세_|_MDN 147
만들_|_VV 147
어깨_|_NNG 147
정신_|_NNG 146
가지_|_VV 145
잠시_|_MAG 145
분_|_NNB 145
의자_|_NNG 145
크리_|_NNG 145
그런_|_MDT 144
벽_|_NNG 144
계단_|_NNG 144
가장_|_MAG 143
갈_|_VV 143
트_|_VV 143
잡_|_VV 143
선생님_|_NNG 143
갑자기_|_MAG 142
돌아보_|_VV 142
이야_|_JX 142
훨씬_|_MAG 141
꺼내_|_VV 141
거기_|_NP 141
두들_|_NNG 140
읽_|_VV 140
넣_|_VV 140
정말_|_MAG 140
데리_|_VV 140
이제_|_NNG 140
가_|_JKC 138
예언_|_NNG 138
ㄴ다고_|_ECE 138
줄_|_NNB 137
그냥_|_MAG 137
처_|_NNG 137
시험_|_NNG 137
녀석_|_NNB 136
이런_|_MDT 136
말_|_VXV 136
구나_|_EFI 136
혹시_|_MAG 135
남_|_VV 135
책상_|_NNG 135
터_|_NNG 134
그리핀_|_NNG 134
없이_|_MAG 133
만나_|_VV 133
필요_|_NNG 133
거인_|_NNG 133
마다_|_JX 132
포터_|_NNG 132
타_|_VV 132
발_|_NNG 132
부엉이_|_NNG 132
고함_|_NNG 132
어쨌든_|_MAG 131
이렇_|_VA 131
떠나_|_VV 131
듯이_|_ECD 130
낳_|_VV 130
꿈_|_NNG 130
학교_|_NNG 130
프_|_UN 130
처음_|_NNG 129
기분_|_NNG 129
빌_|_VV 129
부르_|_VV 128
아야_|_ECD 127
가득_|_MAG 127
쪽_|_NNB 127
느끼_|_VV 127
들려오_|_VV 126
냐_|_EFQ 126
문제_|_NNG 126
건_|_NNM 126
이번_|_NNG 125
하나_|_NR 125
요_|_JX 125
주문_|_NNG 125
걸리_|_VV 125
놓_|_VXV 124
이모부_|_NNG 124
누_|_NNG 124
누군가_|_NP 124
명_|_NNM 124
정도_|_NNG 123
고는_|_ECE 122
얼마나_|_MAG 122
가슴_|_NNG 122
내리_|_VV 122
그저_|_MAG 122
돌아가_|_VV 122
멈추_|_VV 122
당장_|_NNG 121
이것_|_NP 121
교실_|_NNG 121
을까_|_EFQ 120
놀라_|_VV 120
창문_|_NNG 119
거지_|_NNG 119
ㄴ데_|_ECE 119
차_|_VV 119
ㄹ까_|_EFQ 119
살펴보_|_VV 119
숨_|_NNG 119
누구_|_NP 119
피_|_NNG 119
리_|_XSN 118
계속_|_NNG 118
지나가_|_VV 118
어쩌_|_VV 118
찾_|_VV 118
밤_|_NNG 117
망토_|_NNG 117
어느_|_MDT 117
검_|_VA 116
그래서_|_MAC 116
번째_|_NNB 116
화_|_NNG 115
속삭이_|_VV 115
나_|_JX 115
과_|_JKO 115
거든_|_EFN 115
적이_|_MAG 114
한테_|_JKO 114
약간_|_MAG 114
열리_|_VV 113
곧_|_MAG 113
어야_|_ECS 113
천천히_|_MAG 113
엄마_|_NNG 112
듯_|_NNB 112
방금_|_MAG 111
침대_|_NNG 111
젤리_|_NNG 111
우리_|_VV 110
떨_|_VV 110
만약_|_NNG 110
으려고_|_ECD 109
멀_|_VA 109
그러나_|_MAC 109
붙잡_|_VV 109
방어_|_NNG 109
의_|_NNG 108
해지_|_VV 108
연습_|_NNG 108
바람_|_NNG 107
비명_|_NNG 107
였_|_EPT 107
양피지_|_NNG 107
괜찮_|_VA 106
점점_|_MAG 106
달리_|_VV 106
지켜보_|_VV 106
기억_|_NNG 106
올라가_|_VV 106
설명_|_NNG 105
계속_|_MAG 105
퀴_|_UN 105
몹시_|_MAG 105
버논_|_UN 104
퍼지_|_VV 104
딱_|_MAG 104
팔_|_NNG 104
세요_|_EFN 104
모자_|_NNG 104
등_|_NNG 104
오늘_|_NNG 103
네_|_XSN 103
약_|_NNG 103
놓이_|_VV 103
완전히_|_MAG 103
꼭_|_MAG 102
란_|_ETD 102
황급히_|_MAG 102
야_|_JKI 102
무_|_NNG 102
아버지_|_NNG 102
질_|_VV 102
이모_|_NNG 101
기사_|_NNG 101
책_|_NNG 101
ㄴ다_|_EFN 100
열심히_|_MAG 99
당하_|_VV 99
자_|_VV 99
공격_|_NNG 98
짓_|_NNG 98
팀_|_NNG 98
장_|_NNG 97
저녁_|_NNG 97
글_|_NNG 97
)_|_SS 97
이미_|_MAG 97
조용히_|_MAG 97
아침_|_NNG 96
살_|_VV 96
숙이_|_VV 96
시선_|_NNG 96
숙제_|_NNG 96
까_|_VV 95
(_|_SS 95
새_|_NNG 95
마침내_|_MAG 95
지가_|_NNG 95
년_|_NNB 95
뛰_|_VV 95
깨닫_|_VV 94
못_|_MAG 94
라도_|_ECD 93
이해_|_NNG 93
내려가_|_VV 93
내_|_VXV 92
요정_|_NNG 92
다가오_|_VV 92
마녀_|_NNG 92
공부_|_NNG 92
던지_|_VV 91
돌_|_NNG 91
모양_|_NNG 91
뜨_|_VV 91
느의_|_UN 91
빗자루_|_NNG 91
빨리_|_MAG 91
군_|_EFI 90
마지막_|_NNG 90
무시_|_NNG 90
ㄴ다면_|_ECE 90
가르치_|_VV 90
소_|_EFN 90
려_|_ECD 89
떨리_|_VV 89
가방_|_NNG 89
ㄴ가요_|_EFQ 89
바_|_NNG 89
이유_|_NNG 89
먼저_|_MAG 89
거나_|_ECE 88
끝나_|_VV 88
일으키_|_VV 88
나무_|_NNG 88
아_|_NNG 87
조심_|_NNG 87
마리_|_NNB 87
잠깐_|_NNG 87
쓰러지_|_VV 87
법_|_NNG 87
드_|_VV 87
가리키_|_VV 87
노려보_|_VV 86
혼자_|_NNG 86
을지_|_ECS 86
깜짝_|_MAG 86
손가락_|_NNG 86
오_|_VX 86
죽이_|_VV 86
벌써_|_MAG 86
닫_|_VV 86
제임스_|_NNG 86
개_|_NNM 85
질리_|_VV 85
뜻_|_NNG 85
숲_|_NNG 85
테이블_|_NNG 85
트릴로_|_NNG 85
던_|_EFQ 84
그런데_|_MAC 84
너머_|_NNG 84
가까이_|_MAG 84
술_|_NNG 84
돌아서_|_VV 84
항상_|_MAG 84
별로_|_MAG 84
켄_|_UN 84
날카롭_|_VA 83
다가가_|_VV 83
분명_|_NNG 83
층_|_NNG 83
통스_|_UN 83
타우_|_NNG 83
페_|_UN 82
빠지_|_VV 82
짜증_|_NNG 82
대_|_VXV 82
떠오르_|_VV 82
잇_|_VV 82
알아차리_|_VV 82
시키_|_XSV 82
1_|_NR 81
요란_|_NNG 81
울_|_VV 81
성_|_NNG 81
분명히_|_MAG 81
막_|_VV 81
디_|_VV 81
잠_|_NNG 81
생기_|_VV 81
푸_|_VA 81
미치_|_VV 80
>_|_SS 80
티_|_NNG 80
려는_|_ETD 80
위험_|_NNG 80
나요_|_EFQ 80
펜_|_NNG 80
내려다보_|_VV 79
롭_|_XSA 79
라면_|_ECD 79
<_|_SS 79
아도_|_ECD 79
가만히_|_MAG 79
벽난로_|_NNG 79
모임_|_NNG 79
얼른_|_MAG 79
로스_|_NNG 79
라도_|_JX 78
알리_|_VV 78
인사_|_NNG 78
흔들_|_VV 78
제일_|_NNG 78
헤드_|_NNG 78
무스_|_NNG 78
오_|_EFN 78
활짝_|_MAG 77
투_|_NNG 77
아무것_|_NNG 77
다리_|_NNG 77
나_|_ECE 76
쉬_|_VV 76
밖에_|_JX 76
학년_|_NNG 76
군_|_NNG 75
틀림없이_|_MAG 75
분노_|_NNG 75
흉터_|_NNG 75
드_|_XPN 75
고_|_NNG 75
마구_|_MAG 75
원하_|_VV 75
좋아하_|_VV 74
어둡_|_VA 74
여도_|_ECD 74
쥐_|_VV 74
없었_|_VV 74
인간_|_NNG 74
끼_|_VV 74
닿_|_VV 73
느_|_VV 73
으면서_|_ECE 73
끔찍_|_XR 73
겁_|_NNG 73
군요_|_EFI 73
좀더_|_MAG 72
차갑_|_VA 72
패_|_NNG 72
집_|_VV 72
틈_|_NNG 72
둘러보_|_VV 72
침실_|_NNG 72
기사단_|_NNG 72
빛_|_NNG 71
내밀_|_VV 71
길_|_NNG 71
중요_|_NNG 71
벌떡_|_MAG 71
결국_|_NNG 71
불_|_NNG 71
느라_|_ECD 71
든_|_JX 71
끄덕이_|_VV 71
휙_|_MAG 71
던_|_NNP 71
아마_|_MAG 70
할머니_|_NNG 70
지내_|_VV 70
조금_|_NNG 70
이마_|_NNG 70
떠들_|_VV 70
붙_|_VV 70
끌_|_VV 70
부엌_|_NNG 70
운동장_|_NNG 70
나_|_JC 69
거짓말_|_NNG 69
힘_|_NNG 69
다르_|_VA 69
조차_|_JX 69
머릿속_|_NNG 69
멍하니_|_MAG 69
자마자_|_ECE 69
말씀_|_NNG 69
은_|_JKS 69
초상화_|_NNG 69
우스_|_UN 69
식사_|_NNG 68
무릎_|_NNG 68
움직이_|_VV 68
ㄹ라_|_ECD 68
울리_|_VV 68
옷_|_NNG 68
W_|_OL 68
고맙_|_VA 68
피하_|_VV 67
발견_|_NNG 67
한마디_|_NNG 67
5_|_NR 67
세우_|_VV 67
더욱_|_MAG 67
라도_|_NNP 67
아빠_|_NNG 67
머리카락_|_NNG 67
빤히_|_MAG 67
한쪽_|_NNG 67
한편_|_NNG 67
뱀_|_NNG 67
을_|_NNG 67
반장_|_NNG 67
크리스마스_|_NNG 67
머_|_NP 66
배우_|_VV 66
외치_|_VV 66
나누_|_VV 66
두_|_VXV 66
단_|_NNG 66
계획_|_NNG 66
돌_|_VV 65
그날_|_NNG 65
든_|_ECE 65
가지_|_NNB 65
싸우_|_VV 65
병원_|_NNG 65
지니_|_VV 65
얼_|_VV 65
ㄹ까_|_ECD 64
게다가_|_MAG 64
방법_|_NNG 64
씩_|_MAG 64
동시_|_NNG 64
께_|_JKM 64
바싹_|_MAG 64
도착_|_NNG 64
하다_|_NNP 64
정말로_|_MAG 64
교장_|_NNG 64
도비_|_NNG 63
ㄴ가_|_EFQ 63
꾸_|_VV 63
다니_|_VV 63
남자_|_NNG 63
자가_|_NNG 63
거대_|_NNG 63
집어넣_|_VV 63
척하_|_VXV 63
소식_|_NNG 62
피그_|_NNG 62
무척_|_MAG 62
달_|_NNG 62
너무나_|_MAG 62
대신_|_NNP 62
그러니까_|_MAC 62
어머니_|_NNG 62
사진_|_NNG 62
일보_|_NNG 61
를_|_JX 61
서로_|_MAG 61
세상_|_NNG 61
걸음_|_NNG 61
입_|_VV 61
흐르_|_VV 61
뿐_|_JX 60
통하_|_VV 60
나_|_EFQ 60
지_|_ECS 60
상황_|_NNG 60
나머지_|_NNG 60
왜냐하면_|_MAG 60
어서_|_MAG 60
안녕_|_NNG 60
하나_|_NNG 60
라_|_EFN 60
나쁘_|_VA 60
덜_|_VV 59
땅_|_NNG 59
벌어지_|_VV 59
근처_|_NNG 59
놓_|_VV 59
만하_|_VXA 59
텅_|_MAG 59
내려오_|_VV 59
난_|_NNG 59
으니까_|_ECD 59
웃음_|_NNG 59
그곳_|_NP 59
찌푸리_|_VV 58
잘하_|_VV 58
아래_|_NNG 58
2_|_NR 58
심하_|_VA 58
훌륭_|_XR 58
ㄴ가_|_ECS 57
감추_|_VV 57
돋_|_VV 57
허공_|_NNG 57
만큼_|_NNG 57
잊_|_VV 57
불빛_|_NNG 57
시합_|_NNG 57
기에_|_ECD 57
이_|_JX 57
초록색_|_NNG 57
줄_|_NNG 57
블랙_|_NNG 57
내려놓_|_VV 57
조금_|_MAG 57
여학생_|_NNG 57
곧장_|_MAG 56
미안_|_NNG 56
다물_|_VV 56
여기_|_VV 56
오른쪽_|_NNG 56
높_|_VA 56
하얗_|_VA 56
상처_|_NNG 56
여러분_|_NP 56
질문_|_NNG 55
반_|_NNG 55
터지_|_VV 55
튀어나오_|_VV 55
벌리_|_VV 55
쑤시_|_VV 55
마디_|_NNG 55
어의_|_NNG 55
잠깐_|_MAG 55
오직_|_MAG 54
기대_|_NNG 54
널_|_NNG 54
거든_|_ECD 54
달려가_|_VV 54
가족_|_NNG 54
날아가_|_VV 54
쏟아지_|_VV 54
더욱더_|_MAG 54
가운데_|_NNG 54
그리고_|_MAG 54
장관_|_NNG 54
필치_|_NNG 54
으니_|_ECD 53
똑바로_|_MAG 53
대_|_VV 53
금방_|_MAG 53
물론_|_NNG 53
간신히_|_MAG 53
과연_|_MAG 53
현관_|_NNG 53
요_|_EFN 53
신문_|_NNG 52
똑같_|_VA 52
눈물_|_NNG 52
끄_|_VV 52
저주_|_NNG 52
허리_|_NNG 52
침묵_|_NNG 52
구슬_|_NNG 52
들여다보_|_VV 52
나의_|_NNG 52
부서_|_NNG 52
기숙사_|_NNG 52
안경_|_NNG 51
살짝_|_MAG 51
한숨_|_NNG 51
하늘_|_NNG 51
솔직히_|_MAG 51
행동_|_NNG 51
틀림없_|_VA 51
해보_|_VV 51
바라_|_VV 51
올리_|_VV 51
빨갛_|_VA 51
투명_|_NNG 51
물어보_|_VV 51
터뜨리_|_VV 51
날개_|_NNG 51
가리_|_VV 51
천장_|_NNG 51
씩_|_XSN 51
레_|_NNG 51
회장_|_NNG 51
깃_|_NNG 51
대로_|_NNB 50
사_|_VV 50
미처_|_MAG 50
광장_|_NNG 50
경고_|_NNG 50
멍청_|_XR 50
잃_|_VV 50
이봐_|_IC 50
게다_|_NNG 50
아프_|_VA 50
시계_|_NNG 50
은_|_NNG 50
시작하_|_VV 50
의심_|_NNG 49
첫_|_MDT 49
부딪히_|_VV 49
으시_|_EPH 49
굴_|_VV 49
사용_|_NNG 49
화가_|_NNG 49
D_|_OL 49
모이_|_VV 49
우울_|_NNG 49
비_|_NNG 49
얘기_|_NNG 49
숨기_|_VV 48
내용_|_NNG 48
느와_|_UN 48
대로_|_JX 48
심지어_|_MAG 48
온갖_|_MDT 48
여요_|_ECD 48
이후_|_NNG 48
눈앞_|_NNG 48
어찌나_|_MAG 48
고통_|_NNG 48
치켜들_|_VV 48
키_|_NNG 48
차라리_|_MAG 48
니_|_NP 48
도망치_|_VV 48
느낌_|_NNG 48
즈_|_UN 48
글씨_|_NNG 48
직접_|_MAG 48
단지_|_MAG 48
피렌체_|_NNG 48
정말_|_NNG 47
이나_|_JC 47
기울이_|_VV 47
꽉_|_MAG 47
잖아요_|_EFN 47
희미_|_XR 47
온몸_|_NNG 47
법령_|_NNG 47
월_|_NNM 47
말_|_VV 47
편_|_NNB 47
어조_|_NNG 47
형제_|_NNG 47
무기_|_NNG 47
O_|_OL 47
L_|_OL 47
갖_|_VV 46
지키_|_VV 46
움켜쥐_|_VV 46
저_|_VV 46
서로_|_NNG 46
오르_|_VV 46
감정_|_NNG 46
등_|_NNB 46
준비_|_NNG 46
배_|_NNG 46
고_|_JKQ 46
제대로_|_MAG 46
구스_|_UN 46
시키_|_VV 46
마_|_VV 46
힘들_|_VA 46
지_|_NNB 46
하_|_VX 46
몇몇_|_MDT 46
선수_|_NNG 46
이르_|_VV 45
막_|_MAG 45
거리_|_NNG 45
내_|_NNB 45
구하_|_VV 45
이젠_|_NNP 45
둘_|_NNG 45
떼_|_VV 45
제가_|_NNG 45
한동안_|_NNG 45
불안_|_NNG 45
절대_|_MAG 45
만큼_|_NNB 45
툭_|_MAG 45
붙이_|_VV 45
꽤_|_MAG 45
오히려_|_MAG 45
상태_|_NNG 45
식탁_|_NNG 45
매_|_NNG 45
우_|_NNG 45
광경_|_NNG 45
끝내_|_VV 45
늙_|_VV 45
평소_|_NNG 44
금지_|_NNG 44
점_|_NNG 44
눕_|_VV 44
마시_|_VV 44
버럭_|_MAG 44
꼭대기_|_NNG 44
몰르_|_VV 44
트렁크_|_NNG 44
다니_|_EFN 44
쉽_|_VA 44
옮기_|_VV 44
빛나_|_VV 44
실_|_NNG 44
바꾸_|_VV 44
물건_|_NNG 44
킹_|_NNG 44
잔_|_NNG 44
선물_|_NNG 44
왼쪽_|_NNG 44
휴게실_|_NNG 44
대연_|_NNG 44
미스터리_|_NNG 44
늘어지_|_VV 43
기로_|_ECD 43
마주치_|_VV 43
차_|_NNG 43
내내_|_MAG 43
언제나_|_MAG 43
전하_|_VV 43
불쑥_|_MAG 43
마찬가지_|_NNG 43
단호_|_XR 43
느껴지_|_VV 43
알아보_|_VV 43
떨어뜨리_|_VV 43
란다_|_EFN 43
비밀_|_NNG 43
떠올리_|_VV 43
청문회_|_NNG 43
이_|_NP 43
좋아_|_IC 43
아무런_|_MDT 43
구멍_|_NNG 43
눈길_|_NNG 43
자네_|_NP 43
멀리_|_MAG 43
그리_|_MAG 43
깊_|_VA 43
승강기_|_NNG 43
퀘이플_|_UN 43
그롭_|_UN 43
잔디밭_|_NNG 42
돌아다니_|_VV 42
쯤_|_XSN 42
당하_|_XSV 42
그거_|_NP 42
어렵_|_VA 42
짐작_|_NNG 42
털썩_|_MAG 42
피_|_VV 42
신음_|_NNG 42
돕_|_VV 42
높이_|_MAG 42
도움_|_NNG 42
노력_|_NNG 42
빠르_|_VA 42
접시_|_NNG 42
님_|_XSN 42
나도_|_NNG 42
동물_|_NNG 42
물_|_NNG 41
스치_|_VV 41
숨_|_VV 41
낮추_|_VV 41
내일_|_NNG 41
다섯_|_NR 41
절대로_|_MAG 41
참_|_VV 41
냄새_|_NNG 41
전체_|_NNG 41
에_|_VV 41
자르_|_VV 41
호주머니_|_NNG 41
을_|_JX 41
기쁘_|_VA 41
지난번_|_NNG 41
곁_|_NNG 41
니야_|_NNG 41
많이_|_MAG 41
유리_|_NNG 41
어스_|_NNG 41
관심_|_NNG 40
우리_|_NNM 40
초조_|_NNG 40
늘_|_MAG 40
찾아오_|_VV 40
잡지_|_NNG 40
커튼_|_NNG 40
겨우_|_MAG 40
케드릭_|_UN 40
도와주_|_VV 40
겨누_|_VV 40
벌_|_NNG 40
기회_|_NNG 40
빼_|_VV 40
태도_|_NNG 40
흥분_|_NNG 40
음_|_IC 40
이_|_NNB 40
배지_|_NNG 40
응_|_UN 40
고일_|_NNG 40
A_|_OL 40
여름_|_NNG 39
프리_|_NNG 39
4_|_NR 39
지도_|_NNG 39
주의_|_NNG 39
감_|_VV 39
쾅_|_MAG 39
흘리_|_VV 39
꼼짝_|_MAG 39
막히_|_VV 39
비록_|_MAG 39
쏘아붙이_|_VV 39
당연히_|_MAG 39
도저히_|_MAG 39
문득_|_MAG 39
주저앉_|_VV 39
께서_|_JKS 39
결정_|_NNG 39
퉁명_|_NNG 39
덧붙이_|_VV 39
확인_|_NNG 39
방문_|_NNG 39
10_|_NR 39
맥_|_NNG 39
한_|_NNG 39
모든_|_NNP 39
구석_|_NNG 39
치_|_NNG 39
이곳_|_NP 38
곤_|_ECS 38
주_|_NNG 38
뽑_|_VV 38
여러_|_MDT 38
줄짓_|_VV 38
멋지_|_VA 38
부모님_|_NNG 38
왠지_|_MAG 38
절_|_NNG 38
심장_|_NNG 38
맡_|_VV 38
내버리_|_VV 38
찌르_|_VV 38
6_|_NR 38
비로소_|_MAG 38
버리_|_VV 38
예_|_NNG 38
점_|_NNB 38
두드리_|_VV 38
통과_|_NNG 38
잘못_|_NNG 38
넬_|_UN 38
뭉_|_UN 38
닉_|_UN 38
필기_|_NNG 38
세스트랄_|_UN 38
클러먼_|_NNG 38
무섭_|_VA 37
금_|_NNG 37
인상_|_NNG 37
관하_|_VV 37
성큼성큼_|_MAG 37
잠기_|_VV 37
놀_|_VV 37
그_|_VA 37
닥치_|_VV 37
기색_|_NNG 37
쌓이_|_VV 37
입술_|_NNG 37
다행_|_NNG 37
미끄러지_|_VV 37
내_|_NNG 37
어떻게_|_MAG 37
일제히_|_MAG 37
점수_|_NNG 37
날리_|_VV 37
방향_|_NNG 37
또한_|_MAG 37
마주_|_MAG 37
랭크_|_NNG 37
석상_|_NNG 37
먼지_|_NNG 36
