._|_SF 18287
마치_|_MAG 202
여기_|_NP 200
바라보_|_VV 199
뭐_|_NP 198
자리_|_NNG 197
ㄹ지_|_ECD 197
과_|_JC 196
부인_|_NNG 196
잖아_|_EFN 196
칼_|_NNG 193
모습_|_NNG 192
ㅂ니다_|_EFN 192
죽_|_VV 192
세_|_MDN 191
사라지_|_VV 191
크_|_VA 190
그때_|_NNG 190
찾_|_VV 190
도깨비_|_NNG 190
이상_|_NNG 189
그리드_|_NNG 188
받_|_VV 187
옆_|_NNG 187
으며_|_ECE 187
소리치_|_VV 186
포터_|_NNG 184
있었_|_VV 183
저_|_MDT 183
ㄴ지_|_ECD 183
루핀_|_NNG 183
죠_|_EFN 183
라고_|_ECD 182
놓_|_VXV 182
드_|_XPN 182
네_|_EFN 181
서_|_VV 179
고_|_ECS 179
떨어지_|_VV 178
너희_|_NP 178
그런_|_MDT 174
중_|_NNB 173
좀_|_MAG 173
가_|_NNG 173
또_|_MAG 173
리_|_XSN 172
열_|_VV 171
뭔_|_MDT 169
걸_|_VV 169
후_|_NNG 169
당신_|_NP 169
만약_|_NNG 168
도록_|_ECD 167
비_|_VV 165
들_|_VV 165
고개_|_NNG 164
서_|_JKM 164
ㅁ_|_ETN 161
없이_|_MAG 161
고_|_NNG 158
‘_|_SS 158
어가_|_NNG 158
크리_|_NNG 157
듯하_|_VXA 156
아직_|_MAG 156
투명_|_NNG 155
호_|_VV 154
루_|_NNG 154
나무_|_NNG 153
전혀_|_MAG 153
많_|_VA 153
씨_|_NNB 152
와트_|_NNG 152
라는_|_ETD 152
디_|_NNG 152
처_|_NNG 151
떠나_|_VV 150
살_|_VV 150
자네_|_NP 149
가_|_JKC 149
내_|_VV 148
에요_|_EFN 148
듯_|_NNB 147
커다랗_|_VA 147
목_|_NNG 146
보_|_VXV 146
모두_|_MAG 146
책_|_NNG 146
왜_|_MAG 146
이나_|_JX 145
들리_|_VV 145
글_|_NNG 145
고는_|_ECE 145
빌_|_VV 145
잘_|_MAG 144
데_|_NNB 144
뿐_|_NNB 143
무엇_|_NNG 143
바닥_|_NNG 142
쪽_|_NNB 142
시간_|_NNG 142
사이_|_NNG 141
따르_|_VV 140
니까_|_ECD 140
지르_|_VV 140
이미_|_MAG 139
다음_|_NNG 138
이_|_NNG 138
’_|_SS 138
꼭_|_MAG 137
여_|_ECD 137
터_|_NNB 137
터_|_NNG 137
너무_|_MAG 136
그립_|_NNG 136
넣_|_VV 135
........._|_SW 135
길_|_VA 134
가장_|_MAG 134
훅_|_NNG 134
건_|_NNM 133
알버스_|_NNG 132
누_|_NNG 132
이것_|_NP 132
어도_|_ECD 132
만들_|_VV 131
자기_|_NP 131
계속_|_NNG 130
잡_|_VV 129
ㄴ다는_|_ETD 129
니_|_EFQ 129
걷_|_VV 128
믿_|_VV 128
느끼_|_VV 128
였_|_EPT 128
어느_|_MDT 127
라_|_ECD 127
서_|_ECD 126
꺼내_|_VV 126
나타나_|_VV 125
돌리_|_VV 125
훨씬_|_MAG 125
죽이_|_VV 125
외치_|_VV 125
우스_|_UN 124
물건_|_NNG 124
깨닫_|_VV 124
걸리_|_VV 123
어떤_|_MDT 123
을까_|_EFQ 123
치_|_VV 122
아_|_VV 122
단_|_ETD 122
필요_|_NNG 122
작_|_VA 121
밑_|_NNG 120
비명_|_NNG 120
주_|_VV 120
주위_|_NNG 118
거의_|_MAG 118
지금_|_NNG 118
낳_|_VV 118
학생_|_NNG 117
타_|_VV 116
남_|_VV 116
란_|_ETD 116
제_|_XPN 116
거기_|_NP 116
시작_|_NNG 115
마음_|_NNG 115
어의_|_NNG 114
벽_|_NNG 114
뱀_|_NNG 114
돌아오_|_VV 114
이름_|_NNG 113
질_|_VV 113
벌어지_|_VV 112
완전히_|_MAG 112
숨_|_NNG 112
다가_|_ECD 112
들어오_|_VV 111
부_|_NNG 111
여자_|_NNG 111
단다_|_EFN 111
장_|_NNG 110
역시_|_MAG 110
갖_|_VV 110
ㄹ까_|_EFQ 110
그래_|_JX 110
느의_|_UN 110
있엇_|_UN 109
잠시_|_MAG 109
마침내_|_MAG 109
쳐다보_|_VV 109
명_|_NNM 109
모두_|_NNG 109
크룩스_|_NNG 109
하나_|_NR 108
짓_|_VV 108
물론_|_MAG 108
오_|_VX 108
내리_|_VV 108
<_|_SS 108
>_|_SS 108
이제_|_NNG 107
ㄴ다고_|_ECE 107
코_|_NNG 107
맞_|_VV 107
팔_|_NNG 106
밖_|_NNG 106
아야_|_ECD 106
정말_|_MAG 106
흉터_|_NNG 106
지나_|_VV 105
약간_|_MAG 104
딱_|_MAG 104
녀석_|_NNB 104
돌아가_|_VV 104
냐_|_EFQ 104
가족_|_NNG 103
아무_|_MDT 103
가득_|_MAG 103
속삭이_|_VV 103
나_|_JX 103
떠오르_|_VV 103
릴_|_NNM 103
라_|_NNG 102
누군가_|_NP 102
그런데_|_MAC 102
아래_|_NNG 102
누구_|_NP 101
멈추_|_VV 101
기분_|_NNG 101
바라_|_VV 101
요_|_JX 101
노필_|_NNG 101
돌_|_NNG 100
친구_|_NNG 100
델_|_VV 100
멀_|_VA 99
웃_|_VV 99
갈_|_VV 99
주문_|_NNG 99
드_|_VV 98
마지막_|_NNG 98
티_|_VV 98
프레드_|_NNG 98
ㄴ가_|_EFQ 97
저주_|_NNG 97
포_|_NNG 97
발_|_NNG 97
우리_|_VV 97
네_|_XSN 97
밤_|_NNG 96
이렇_|_VA 96
말_|_VXV 96
거지_|_NNG 96
디_|_VV 96
계획_|_NNG 95
ㄴ다_|_EFN 95
피_|_NNG 95
이해_|_NNG 95
움직이_|_VV 95
그린_|_NNG 95
마_|_NNG 95
복도_|_NNG 94
기다리_|_VV 94
거든_|_EFN 94
려_|_ECD 94
과_|_JKO 94
귀_|_NNG 94
입_|_VV 93
너머_|_NNG 93
끝_|_NNG 93
로켓_|_NNG 93
계단_|_NNG 93
나_|_EFQ 93
텐트_|_NNG 93
듯이_|_NNB 92
ㄹ라_|_ECD 92
어머니_|_NNG 92
보내_|_VV 92
으면_|_ECD 92
다가오_|_VV 92
오직_|_MAG 91
떨_|_VV 91
어야_|_ECS 91
차_|_VV 91
일어나_|_VV 91
호_|_NNG 91
줄_|_NNB 90
주인님_|_NNG 90
ㄴ데_|_ECE 90
가지_|_VV 90
기억_|_NNG 90
던_|_EFQ 90
손가락_|_NNG 89
발견_|_NNG 89
결국_|_NNG 89
지금_|_MAG 89
성물_|_NNG 88
길_|_NNG 88
힘_|_NNG 88
날_|_NNG 88
설명_|_NNG 88
우_|_NNG 88
루스_|_NNG 87
분_|_NNB 87
ㄴ다면_|_ECE 87
또다시_|_MAG 87
점점_|_MAG 87
그리고_|_MAG 87
읽_|_VV 87
그레_|_NNG 87
..._|_SE 86
모양_|_NNG 86
처음_|_NNG 86
얼마나_|_MAG 86
조차_|_JX 86
아요_|_EFN 86
다_|_NNG 86
요정_|_NNG 86
열리_|_VV 85
못_|_MAG 85
분명_|_NNG 85
놀라_|_VV 85
플뢰르_|_UN 85
들려오_|_VV 84
러_|_ECD 84
의자_|_NNG 84
머_|_NP 84
라면_|_ECD 84
나가_|_VV 84
거나_|_ECE 83
정도_|_NNG 83
바_|_NNG 83
올라가_|_VV 83
라도_|_ECD 82
어깨_|_NNG 82
바_|_NNB 82
적이_|_MAG 82
어쩌_|_VV 82
싸우_|_VV 82
불빛_|_NNG 81
다가가_|_VV 81
그곳_|_NP 81
가리키_|_VV 81
짓_|_NNG 81
맥고_|_NNG 81
롭_|_XSA 80
다르_|_VA 80
빛_|_NNG 80
검_|_VA 80
이동_|_NNG 80
저_|_VV 80
용_|_NNG 80
닿_|_VV 80
내_|_VXV 80
그냥_|_MAG 80
레_|_NNG 80
바람_|_NNG 80
야_|_JKI 80
악_|_NNG 79
그분_|_NP 79
시키_|_XSV 79
벨라트릭스_|_UN 79
분노_|_NNG 79
학교_|_NNG 79
구나_|_EFI 79
지나가_|_VV 79
남자_|_NNG 78
보호_|_NNG 78
비밀_|_NNG 78
아무것_|_NNG 78
사진_|_NNG 78
돌아보_|_VV 78
걸어가_|_VV 77
먼저_|_MAG 77
미소_|_NNG 77
중얼거리_|_VV 77
듯이_|_ECD 77
고통_|_NNG 77
얘기_|_NNG 77
데리_|_VV 77
쓰러지_|_VV 76
곧_|_MAG 76
새_|_NNG 76
그래서_|_MAC 76
내려다보_|_VV 76
왜냐하면_|_MAG 76
까_|_VV 76
느_|_VV 76
놈_|_NNB 76
해지_|_VV 75
뜷_|_UN 75
이런_|_MDT 75
계속_|_MAG 75
갑자기_|_MAG 75
거대_|_NNG 75
지_|_NNG 75
이곳_|_NP 75
막_|_VV 74
잃_|_VV 74
숨기_|_VV 74
구하_|_VV 74
마_|_VV 73
뜨_|_VV 73
을지_|_ECS 73
밴_|_NNG 73
그리핀_|_NNG 73
문제_|_NNG 72
등_|_NNG 72
더욱_|_MAG 72
없었_|_VV 72
시_|_NNG 72
메_|_VV 72
통로_|_NNG 72
아무_|_NP 71
부르_|_VV 71
달리_|_VV 71
올리_|_VV 70
무시_|_NNG 70
분명히_|_MAG 70
아_|_NNG 70
시리우스_|_NNG 70
침대_|_NNG 70
방금_|_MAG 69
오_|_NR 69
당장_|_NNG 69
붙잡_|_VV 69
도대체_|_MAG 69
라도_|_JX 69
아리_|_NNG 69
제가_|_NNG 69
내려가_|_VV 69
통스_|_UN 69
가슴_|_NNG 68
베_|_NNG 68
분명_|_MAG 68
돌_|_VV 68
지켜보_|_VV 68
질리_|_VV 68
방법_|_NNG 68
동시_|_NNG 68
뛰_|_VV 68
세요_|_EFN 68
잔_|_NNG 68
를_|_JX 68
스크림_|_NNG 67
만나_|_VV 67
덜_|_VV 67
아버지_|_NNG 67
정신_|_NNG 67
과연_|_MAG 67
남기_|_VV 67
혹시_|_MAG 67
머릿속_|_NNG 67
물_|_NNG 66
날카롭_|_VA 66
레이_|_NNG 66
흔들_|_VV 66
일으키_|_VV 66
마녀_|_NNG 66
년_|_NNB 66
으려고_|_ECD 66
느꼇_|_UN 66
결코_|_MAG 66
애버포스_|_UN 66
위험_|_NNG 66
이야_|_JX 66
걱정_|_NNG 66
쥐_|_VV 66
조지_|_NNG 66
숲_|_NNG 66
가까이_|_MAG 65
하얗_|_VA 65
잔뜩_|_MAG 65
눈물_|_NNG 65
여도_|_ECD 65
하나_|_NNG 65
보관_|_NNG 65
창문_|_NNG 64
만큼_|_NNG 64
만큼_|_NNB 64
요_|_EFN 64
던_|_NNP 64
제임스_|_NNG 64
던지_|_VV 63
니_|_JC 63
저희_|_NP 63
인간_|_NNG 63
번째_|_NNB 63
부엌_|_NNG 63
침묵_|_NNG 63
엇_|_XPN 63
허공_|_NNG 62
매_|_NNG 62
이모부_|_NNG 62
너무나_|_MAG 62
얼_|_VV 62
그저_|_MAG 61
어둡_|_VA 61
지_|_ECS 61
미끄러지_|_VV 61
한편_|_NNG 61
똑같_|_VA 61
엄마_|_NNG 61
드릭_|_UN 61
높_|_VA 60
놓이_|_VV 60
흐르_|_VV 60
려는_|_ETD 60
두_|_VXV 60
감추_|_VV 60
뜻_|_NNG 60
느껴지_|_VV 60
.........._|_SW 60
통하_|_VV 59
불_|_NNG 59
조용히_|_MAG 59
포이_|_UN 59
끔찍_|_XR 59
부모님_|_NNG 59
하늘_|_NNG 59
멀리_|_MAG 59
자가_|_NNG 58
세우_|_VV 58
이유_|_NNG 58
기에_|_ECD 58
겁_|_NNG 58
단_|_NNG 58
의_|_NNG 58
목숨_|_NNG 58
그만_|_MAG 58
사방_|_NNG 58
호크_|_NNG 58
룩스_|_NNB 58
이윽고_|_MAG 57
살짝_|_MAG 57
빠지_|_VV 57
끄덕이_|_VV 57
터지_|_VV 57
마찬가지_|_NNG 57
나요_|_EFQ 57
ㄴ가요_|_EFQ 57
몹시_|_MAG 57
로_|_NNG 57
대신_|_NNP 56
군_|_EFI 56
기사단_|_NNG 56
이_|_NP 56
이번_|_NNG 56
일어서_|_VV 56
떨리_|_VV 56
기로_|_ECD 56
어_|_NNG 56
트_|_VV 56
원하_|_VV 56
휙_|_MAG 56
딱총_|_NNG 56
ㄹ까_|_ECD 55
내_|_NNG 55
반드시_|_MAG 55
다니_|_VV 55
지니_|_VV 55
끌_|_VV 55
든_|_JX 55
공격_|_NNG 55
나도_|_NNG 55
상징_|_NNG 55
백_|_NNG 55
도비_|_NNG 55
오늘_|_NNG 54
법_|_NNG 54
황금_|_NNG 54
중요_|_NNG 54
킹_|_NNG 54
과_|_NNG 54
올_|_NNG 54
한테_|_JKO 54
골짜기_|_NNG 54
굿_|_NNG 54
1_|_NR 53
마다_|_JX 53
가지_|_NNB 53
으니_|_ECD 53
조그맣_|_VA 53
세상_|_NNG 53
나_|_ECE 53
진짜_|_NNG 53
당하_|_VV 53
땅_|_NNG 53
고_|_XSN 53
러브_|_NNG 53
키_|_NNG 52
재빨리_|_MAG 52
머리카락_|_NNG 52
행동_|_NNG 52
든_|_ECE 52
바싹_|_MAG 52
아들_|_NNG 52
무릎_|_NNG 52
알아보_|_VV 52
두들_|_NNG 52
안전_|_NNG 52
도착_|_NNG 52
떠올리_|_VV 52
아도_|_ECD 52
불꽃_|_NNG 52
눕_|_VV 52
패트_|_NNG 52
마왕_|_NNG 51
서로_|_NNG 51
희미_|_XR 51
테이블_|_NNG 51
쉬_|_VV 51
걸_|_NNG 51
베_|_VV 51
공포_|_NNG 51
마구_|_MAG 51
아마_|_MAG 51
이_|_JX 51
비록_|_MAG 51
개_|_NNM 51
무덤_|_NNG 51
단지_|_MAG 51
으시_|_EPH 51
그럼_|_MAG 51
그래서_|_MAG 51
오_|_NNG 51
잠깐_|_NNG 50
벽난로_|_NNG 50
혼자_|_NNG 50
옷_|_NNG 50
그토록_|_MAG 50
가운데_|_NNG 50
조각_|_NNG 50
주머니_|_NNG 50
더미_|_NNG 50
머_|_MAG 50
의심_|_NNG 50
을_|_JX 50
성_|_NNG 50
소식_|_NNG 49
확신_|_NNG 49
나머지_|_NNG 49
말씀_|_NNG 49
제일_|_NNG 49
만하_|_VXA 49
좋아하_|_VV 49
사랑_|_NNG 49
버논_|_UN 49
무_|_NNG 49
우리_|_NNM 49
비치_|_NNG 49
입구_|_NNG 49
엄브릿지_|_UN 49
(_|_SS 48
)_|_SS 48
확인_|_NNG 48
프_|_UN 48
피_|_VV 48
깜짝_|_MAG 48
하다_|_NNP 48
도지_|_NNG 48
자_|_VV 48
미안_|_NNG 48
끼_|_VV 48
붙_|_VV 48
높이_|_MAG 47
치켜들_|_VV 47
곧장_|_MAG 47
한_|_NNG 47
생기_|_VV 47
피하_|_VV 47
느냐_|_EFQ 47
심장_|_NNG 47
눈길_|_NNG 47
부서지_|_VV 47
은_|_JKS 47
꽉_|_MAG 47
찾아내_|_VV 47
편지_|_NNG 47
찾아오_|_VV 47
게다가_|_MAG 47
랑_|_JC 47
명령_|_NNG 47
숙이_|_VV 47
빗자루_|_NNG 47
천장_|_NNG 47
겨누_|_VV 46
인사_|_NNG 46
퍼지_|_VV 46
당하_|_XSV 46
어스_|_NNG 46
점_|_NNG 46
잠깐_|_MAG 46
한쪽_|_NNG 46
심지어_|_MAG 46
도움_|_NNG 46
와_|_VV 46
스키_|_NNG 46
고함_|_NNG 46
게다_|_NNG 46
쑤시_|_VV 46
달려가_|_VV 46
구멍_|_NNG 46
장소_|_NNG 46
존재_|_NNG 46
주인_|_NNG 46
금고_|_NNG 46
이어지_|_VV 45
거울_|_NNG 45
얼른_|_MAG 45
여러_|_MDT 45
놓_|_VV 45
도와주_|_VV 45
명이_|_NNG 45
훔치_|_VV 45
알리_|_VV 45
안경_|_NNG 45
한번_|_NNG 45
있_|_VA 45
울_|_VV 45
이마_|_NNG 45
알아내_|_VV 45
곁_|_NNG 45
부딪히_|_VV 45
거리_|_NNG 44
낮_|_VA 44
빠르_|_VA 44
초상화_|_NNG 44
천천히_|_MAG 44
웃음_|_NNG 44
버리_|_VV 44
간신히_|_MAG 44
대_|_VXV 44
이후_|_NNG 44
깊_|_VA 44
사용_|_NNG 44
간_|_NNG 44
아빠_|_NNG 44
니_|_NP 44
오_|_EFN 44
편_|_NNB 44
군_|_NNG 44
형_|_NNG 44
걸음_|_NNG 43
그놈_|_NP 43
황급히_|_MAG 43
어째서_|_MAG 43
썻_|_UN 43
대_|_VV 43
아무런_|_MDT 43
가깝_|_VA 43
은_|_NNG 43
배_|_NNG 43
집_|_VV 43
튀어나오_|_VV 43
영혼_|_NNG 43
정말로_|_MAG 43
걸이_|_NNG 43
트래버스_|_NNG 43
시도_|_NNG 43
제_|_NNG 42
결혼식_|_NNG 42
현관_|_NNG 42
들여다보_|_VV 42
모든_|_NNP 42
ㄴ가_|_ECS 42
자마자_|_ECE 42
이기_|_VV 42
충격_|_NNG 42
나의_|_NNG 42
내려오_|_VV 42
둘러보_|_VV 42
으니까_|_ECD 42
벗_|_VV 42
눈앞_|_NNG 42
무언가_|_NNG 42
기대_|_NNG 42
크룸_|_UN 42
옮기_|_VV 41
시선_|_NNG 41
힐끗_|_MAG 41
살펴보_|_VV 41
거짓말_|_NNG 41
줄곧_|_MAG 41
내밀_|_VV 41
약_|_NNG 41
푸_|_VV 41
께_|_JKM 41
날아가_|_VV 41
사납_|_VA 41
쏘_|_VV 41
괜찮_|_VA 41
파괴_|_NNG 41
차갑_|_VA 41
듯_|_ECD 40
울리_|_VV 40
활짝_|_MAG 40
불사조_|_NNG 40
자_|_NNB 40
일단_|_MAG 40
쉽_|_VA 40
상태_|_NNG 40
세계_|_NNG 40
쏟아지_|_VV 40
닫_|_VV 40
어쩌면_|_MAG 40
도망치_|_VV 40
그대로_|_MAG 40
가로지르_|_VV 40
잊_|_VV 40
그자_|_NP 40
무리_|_NNG 40
알아차리_|_VV 40
감_|_VV 40
빨리_|_MAG 40
훌륭_|_XR 39
내_|_NNB 39
일어_|_NNG 39
움켜쥐_|_VV 39
서로_|_MAG 39
전하_|_VV 39
미치_|_VV 39
두려움_|_NNG 39
꼭대기_|_NNG 39
달아나_|_VV 39
쌓이_|_VV 39
오토바이_|_NNG 39
부탁_|_NNG 39
선택_|_NNG 39
쫓_|_VV 39
루시_|_NNG 38
항상_|_MAG 38
토_|_NNG 38
돕_|_VV 38
고_|_JKQ 38
밖에_|_JX 38
올려다보_|_VV 38
여동생_|_NNG 38
계시_|_VXA 38
조심_|_NNG 38
같이_|_MAG 38
줄_|_NNG 38
나르_|_VV 38
님_|_XSN 38
그_|_VA 38
으면서_|_ECE 38
몰_|_NNG 38
태생_|_NNG 38
숨_|_VV 38
아마도_|_MAG 38
캐터_|_UN 38
이백_|_NNP 38
변하_|_VV 37
당_|_NNG 37
끝나_|_VV 37
광경_|_NNG 37
매달리_|_VV 37
말_|_VV 37
기울이_|_VV 37
뿐_|_JX 37
허리_|_NNG 37
무스_|_NNG 37
가문_|_NNG 37
벌떡_|_MAG 37
통증_|_NNG 37
지도_|_NNG 37
사_|_VV 37
늙_|_VV 37
날리_|_VV 37
텅_|_MAG 37
는_|_JKS 37
다리_|_NNG 37
기절_|_NNG 37
고트_|_NNG 37
두_|_VV 36
가리_|_VV 36
돌아서_|_VV 36
선_|_NNG 36
앗_|_VV 36
당연히_|_MAG 36
엄청나_|_VA 36
일부_|_NNG 36
은빛_|_NNG 36
지키_|_VV 36
티_|_NNG 36
곤_|_ECS 36
지내_|_VV 36
지_|_NNB 36
언제나_|_MAG 36
상상_|_NNG 36
질문_|_NNG 36
한마디_|_NNG 36
불구하_|_VV 36
흥분_|_NNG 36
위층_|_NNG 36
구스_|_UN 36
느와_|_UN 36
상황_|_NNG 36
제대로_|_MAG 36
고서_|_ECD 36
먼지_|_NNG 36
오두막집_|_NNG 36
드러나_|_VV 35
정보_|_NNG 35
추적_|_NNG 35
대로_|_NNB 35
흘러나오_|_VV 35
혹은_|_MAG 35
침실_|_NNG 35
차_|_NNG 35
쾅_|_MAG 35
등_|_NNB 35
잠_|_NNG 35
기사_|_NNG 35
능력_|_NNG 35
여기_|_VV 35
풀_|_VV 35
순식간_|_NNG 35
페_|_UN 35
벌써_|_MAG 35
소_|_EFN 35
달_|_VA 35
할머니_|_NNG 35
싸늘_|_XR 35
휘두르_|_VV 35
시신_|_NNG 35
회장_|_NNG 35
정원_|_NNG 34
장식_|_NNG 34
까맣_|_VA 34
두드리_|_VV 34
기회_|_NNG 34
기_|_NNG 34
노려보_|_VV 34
진실_|_NNG 34
잡종_|_NNG 34
라_|_EFN 34
신문_|_NNG 34
원_|_NNG 34
짐작_|_NNG 34
달_|_NNG 34
전부_|_MAG 34
거실_|_NNG 34
공중_|_NNG 34
유령_|_NNG 34
호_|_NNB 34
음_|_ETN 34
블랙_|_NNG 34
오오_|_MAG 34
층계_|_NNG 34
조_|_NNG 33
근처_|_NNG 33
의식_|_NNG 33
어찌나_|_MAG 33
주_|_NNG 33
눈동자_|_NNG 33
낡_|_VA 33
씩_|_XSN 33
나누_|_VV 33
나_|_JC 33
젊_|_VA 33
아야_|_ECS 33
그거_|_NP 33
버럭_|_MAG 33
선생님_|_NNG 33
지경_|_NNB 33
감히_|_MAG 33
신경_|_NNG 33
고맙_|_VV 33
준비_|_NNG 33
별로_|_MAG 33
틈_|_NNG 33
느낌_|_NNG 33
막히_|_VV 33
두려워하_|_VV 33
광장_|_NNG 33
그레이_|_NNG 33
발소리_|_NNG 32
지요_|_EFN 32
참으로_|_MAG 32
주변_|_NNG 32
직접_|_MAG 32
가능_|_NNG 32
다시피_|_ECD 32
불쑥_|_MAG 32
전체_|_NNG 32
강력_|_XR 32
금_|_NNG 32
비로소_|_MAG 32
드러내_|_VV 32
건_|_NNG 32
결정_|_NNG 32
빤히_|_MAG 32
ㄴ다_|_ECS 32
불길_|_NNG 32
마음속_|_NNG 32
사무실_|_NNG 32
새겨지_|_VV 32
뮤리엘_|_UN 32
러스_|_UN 32
대연_|_NNG 32
않_|_VV 31
않_|_MAG 31
뻗_|_VV 31
현관문_|_NNG 31
노력_|_NNG 31
달라_|_VV 31
게_|_NNG 31
오르_|_VV 31
요란_|_NNG 31
초록색_|_NNG 31
환하_|_VA 31
짜증_|_NNG 31
상처_|_NNG 31
아침_|_NNG 31
세_|_NNG 31
별_|_NNG 31
놀랍_|_VA 31
많이_|_MAG 31
심하_|_VA 31
페투니아_|_UN 31
경_|_NNG 31
들_|_NNG 31
어서_|_MAG 31
어렵_|_VA 31
모자_|_NNG 31
빨갛_|_VA 31
빠져나가_|_VV 31
가만히_|_MAG 31
경우_|_NNG 31
진_|_NNG 31
물러서_|_VV 31
연못_|_NNG 31
정말_|_NNG 31
돋_|_VV 31
다가_|_NNP 31
나이_|_NNG 31
꼼짝_|_MAG 30
산_|_NNG 30
번쩍_|_MAG 30
얻_|_VV 30
가짜_|_NNG 30
무너지_|_VV 30
장관_|_NNG 30
만이_|_NNG 30
짧_|_VA 30
절대_|_MAG 30
벌리_|_VV 30
저녁_|_NNG 30
느라_|_ECD 30
선물_|_NNG 30
이모_|_NNG 30
남_|_NNG 30
어리_|_VA 30
끄_|_VV 30
잖아요_|_EFN 30
따위_|_NNB 30
